PLAYER;OPERATION;RESULT
129;IN from http://sofifa.com/player/149710-layvin-kurzawa?hl=en-GB&units=mks;OK
130;IN from http://sofifa.com/player/148585-aymen-abdennour?hl=en-GB&units=mks;OK
131;IN from http://sofifa.com/player/144487-ricardo-alberto-silv-de-carvalho?hl=en-GB&units=mks;OK
132;IN from http://sofifa.com/player/150124-fabio-henrique-tavares?hl=en-GB&units=mks;OK
133;IN from http://sofifa.com/player/149874-geoffrey-kondogbia?hl=en-GB&units=mks;OK
134;IN from http://sofifa.com/player/146428-jeremy-toulalan?hl=en-GB&units=mks;OK
135;IN from http://sofifa.com/player/150075-yannick-ferreira-carrasco?hl=en-GB&units=mks;OK
136;IN from http://sofifa.com/player/150415-bernardo-mota-carvalho-e-silva?hl=en-GB&units=mks;OK
137;IN from http://sofifa.com/player/145475-dimitar-berbatov?hl=en-GB&units=mks;OK
138;IN from http://sofifa.com/player/150115-wallace-fortuna-dos-santos?hl=en-GB&units=mks;OK
139;IN from http://sofifa.com/player/149688-lucas-rodrigues-m-silva?hl=en-GB&units=mks;OK
140;IN from http://sofifa.com/player/146716-andrea-raggi?hl=en-GB&units=mks;OK
141;IN from http://sofifa.com/player/150422-tiemoue-bakayoko?hl=en-GB&units=mks;OK
142;IN from http://sofifa.com/player/148002-alain-traore?hl=en-GB&units=mks;OK
143;IN from http://sofifa.com/player/149533-matheus-thiago-de-carvalho?hl=en-GB&units=mks;OK
144;IN from http://sofifa.com/player/150897-anthony-martial?hl=en-GB&units=mks;OK
145;IN from http://sofifa.com/player/148055-nicolas-gaitan?hl=en-GB&units=mks;OK
146;IN from http://sofifa.com/player/148839-valere-germain?hl=en-GB&units=mks;OK
147;IN from http://sofifa.com/player/149547-martin-sourzac?hl=en-GB&units=mks;OK
148;IN from http://sofifa.com/player/146075-maarten-stekelenburg?hl=en-GB&units=mks;OK
149;IN from http://sofifa.com/player/144487-helton-da-silva-arruda?hl=en-GB&units=mks;OK
150;IN from http://sofifa.com/player/149123-alex-sandro-lobo-silva?hl=en-GB&units=mks;OK
151;IN from http://sofifa.com/player/147402-ivan-marcano-sierra?hl=en-GB&units=mks;OK
152;IN from http://sofifa.com/player/148259-maicon-pereira-roque?hl=en-GB&units=mks;OK
153;IN from http://sofifa.com/player/149293-danilo-luiz-da-silva?hl=en-GB&units=mks;OK
154;IN from http://sofifa.com/player/150507-oliver-torres-munoz?hl=en-GB&units=mks;OK
155;IN from http://sofifa.com/player/149516-carlos-henrique-venancio-casimiro?hl=en-GB&units=mks;OK
156;IN from http://sofifa.com/player/146444-ricardo-andrade-quaresma-bernardo?hl=en-GB&units=mks;OK
157;IN from http://sofifa.com/player/148615-jose-angel-valdes-diaz?hl=en-GB&units=mks;OK
158;IN from http://sofifa.com/player/151361-ruben-diogo-da-silva-neves?hl=en-GB&units=mks;OK
159;IN from http://sofifa.com/player/147506-evandro-goebel?hl=en-GB&units=mks;OK
160;IN from http://sofifa.com/player/150406-goncalo-mendes-paciencia?hl=en-GB&units=mks;OK
161;IN from http://sofifa.com/player/149329-hernani-jorge-santos-fortes?hl=en-GB&units=mks;OK
162;IN from http://sofifa.com/player/150107-ricardo-d-barbosa-pereira?hl=en-GB&units=mks;OK
163;IN from http://sofifa.com/player/149328-cristian-tello-herrera?hl=en-GB&units=mks;OK
164;IN from http://sofifa.com/player/147621-andres-eduardo-fernandez-moreno?hl=en-GB&units=mks;OK
165;IN from http://sofifa.com/player/148061-fabiano-ribeiro-de-freitas?hl=en-GB&units=mks;OK
166;IN from http://sofifa.com/player/150327-marcos-aoas-correa?hl=en-GB&units=mks;OK
167;IN from http://sofifa.com/player/148035-gregory-van-der-wiel?hl=en-GB&units=mks;OK
168;IN from http://sofifa.com/player/148538-javier-pastore?hl=en-GB&units=mks;OK
169;IN from http://sofifa.com/player/144807-zoumana-camara?hl=en-GB&units=mks;OK
170;IN from http://sofifa.com/player/150651-adrien-rabiot?hl=en-GB&units=mks;OK
171;IN from http://sofifa.com/player/151268-roli-pereira-de-sa?hl=en-GB&units=mks;OK
172;IN from http://sofifa.com/player/150342-jeremi-kimmakon?hl=en-GB&units=mks;OK
173;IN from http://sofifa.com/player/149949-jean-christophe-bahebeck?hl=en-GB&units=mks;OK
174;IN from http://sofifa.com/player/145192-nicolas-douchez?hl=en-GB&units=mks;OK
175;IN from http://sofifa.com/player/146449-eliseu-pereira-dos-santos?hl=en-GB&units=mks;OK
176;IN from http://sofifa.com/player/147359-jardel-nivaldo-vieira?hl=en-GB&units=mks;OK
177;IN from http://sofifa.com/player/145489-anderson-luis-da-silva?hl=en-GB&units=mks;OK
178;IN from http://sofifa.com/player/148646-luis-miguel-afonso-fernandes?hl=en-GB&units=mks;OK
179;IN from http://sofifa.com/player/148926-eduardo-salvio?hl=en-GB&units=mks;OK
180;IN from http://sofifa.com/player/146398-rodrigo-jose-lima-dos-santos?hl=en-GB&units=mks;OK
181;IN from http://sofifa.com/player/146632-jonas-goncalves-oliveira?hl=en-GB&units=mks;OK
182;IN from http://sofifa.com/player/148611-lisandro-lopez?hl=en-GB&units=mks;OK
183;IN from http://sofifa.com/player/147907-silvio-manuel-a-f-sa-pereira?hl=en-GB&units=mks;OK
184;IN from http://sofifa.com/player/150620-bryan-cristante?hl=en-GB&units=mks;OK
185;IN from http://sofifa.com/player/149602-ola-john?hl=en-GB&units=mks;OK
186;IN from http://sofifa.com/player/151257-goncalo-manuel-ganchinho-guedes?hl=en-GB&units=mks;OK
187;IN from http://sofifa.com/player/150225-anderson-souza-conceicao?hl=en-GB&units=mks;OK
188;IN from http://sofifa.com/player/147999-vanderley-dias-marinho?hl=en-GB&units=mks;OK
189;IN from http://sofifa.com/player/144529-paulo-jorge-pedro-lopes?hl=en-GB&units=mks;OK
190;IN from http://sofifa.com/player/145470-artur-guilherme-moraes-gusmao?hl=en-GB&units=mks;OK
191;IN from http://sofifa.com/player/149509-nicolai-boilesen?hl=en-GB&units=mks;OK
192;IN from http://sofifa.com/player/148582-nick-viergever?hl=en-GB&units=mks;OK
193;IN from http://sofifa.com/player/149477-joel-veltman?hl=en-GB&units=mks;OK
194;IN from http://sofifa.com/player/149261-ricardo-van-rhijn?hl=en-GB&units=mks;OK
195;IN from http://sofifa.com/player/150449-lucas-andersen?hl=en-GB&units=mks;OK
196;IN from http://sofifa.com/player/148833-thulani-serero?hl=en-GB&units=mks;OK
197;IN from http://sofifa.com/player/149880-davy-klaassen?hl=en-GB&units=mks;OK
198;IN from http://sofifa.com/player/150562-ricardo-kishna?hl=en-GB&units=mks;OK
199;IN from http://sofifa.com/player/147178-niklas-moisander?hl=en-GB&units=mks;OK
200;IN from http://sofifa.com/player/149751-mike-van-der-hoorn?hl=en-GB&units=mks;OK
201;IN from http://sofifa.com/player/151176-jairo-riedewald?hl=en-GB&units=mks;OK
202;IN from http://sofifa.com/player/151209-riechedly-bazoer?hl=en-GB&units=mks;OK
203;IN from http://sofifa.com/player/147015-niki-zimling?hl=en-GB&units=mks;OK
204;IN from http://sofifa.com/player/150743-daley-sinkgraven?hl=en-GB&units=mks;OK
205;IN from http://sofifa.com/player/150681-anwar-el-ghazi?hl=en-GB&units=mks;OK
206;IN from http://sofifa.com/player/151172-richairo-zivkovic?hl=en-GB&units=mks;OK
207;IN from http://sofifa.com/player/150789-queensy-menig?hl=en-GB&units=mks;OK
208;IN from http://sofifa.com/player/150353-viktor-fischer?hl=en-GB&units=mks;OK
209;IN from http://sofifa.com/player/145347-diederik-boer?hl=en-GB&units=mks;OK
210;IN from http://sofifa.com/player/147522-kirill-nababkin?hl=en-GB&units=mks;OK
211;IN from http://sofifa.com/player/148994-mario-figueira-fernandes?hl=en-GB&units=mks;OK
212;IN from http://sofifa.com/player/149512-georgi-milanov?hl=en-GB&units=mks;OK
213;IN from http://sofifa.com/player/148050-bibras-natcho?hl=en-GB&units=mks;OK
214;IN from http://sofifa.com/player/147714-roman-eremenko?hl=en-GB&units=mks;OK
215;IN from http://sofifa.com/player/151028-carlos-strandberg?hl=en-GB&units=mks;OK
216;IN from http://sofifa.com/player/150937-nikita-chernov?hl=en-GB&units=mks;OK
217;IN from http://sofifa.com/player/145981-alexey-berezutskiy?hl=en-GB&units=mks;OK
218;IN from http://sofifa.com/player/151414-denis-nikitin?hl=en-GB&units=mks;OK
219;IN from http://sofifa.com/player/150649-dmitriy-efremov?hl=en-GB&units=mks;OK
220;IN from http://sofifa.com/player/151074-alexandr-golovin?hl=en-GB&units=mks;OK
221;IN from http://sofifa.com/player/148656-kirill-panchenko?hl=en-GB&units=mks;OK
222;IN from http://sofifa.com/player/151152-alibek-aliev?hl=en-GB&units=mks;OK
223;IN from http://sofifa.com/player/146081-alexandr-anyukov?hl=en-GB&units=mks;OK
224;IN from http://sofifa.com/player/148222-igor-smolnikov?hl=en-GB&units=mks;OK
225;IN from http://sofifa.com/player/147675-fran-javier-garcia-fernandez?hl=en-GB&units=mks;OK
226;IN from http://sofifa.com/player/146576-carlos-tevez?hl=en-GB&units=mks;OK
227;IN from http://sofifa.com/player/146394-danny-miguel-alves-gomes?hl=en-GB&units=mks;OK
228;IN from http://sofifa.com/player/148626-salomon-rondon?hl=en-GB&units=mks;OK
229;IN from http://sofifa.com/player/149189-milan-rodic?hl=en-GB&units=mks;OK
230;IN from http://sofifa.com/player/150277-kirill-kostin?hl=en-GB&units=mks;OK
231;IN from http://sofifa.com/player/147635-domenico-criscito?hl=en-GB&units=mks;OK
232;IN from http://sofifa.com/player/147519-alexandr-ryazantsev?hl=en-GB&units=mks;OK
233;IN from http://sofifa.com/player/150998-ramil-sheydaev?hl=en-GB&units=mks;OK
234;IN from http://sofifa.com/player/145594-andrey-arshavin?hl=en-GB&units=mks;OK
235;IN from http://sofifa.com/player/150049-egor-baburin?hl=en-GB&units=mks;OK
236;IN from http://sofifa.com/player/150049-egor-baburin?hl=en-GB&units=mks;OK
237;IN from http://sofifa.com/player/146736-samir-handanovic?hl=en-GB&units=mks;OK
238;IN from http://sofifa.com/player/149258-juan-guilherme-nunes-jesus?hl=en-GB&units=mks;OK
239;IN from http://sofifa.com/player/148048-andrea-ranocchia?hl=en-GB&units=mks;OK
240;IN from http://sofifa.com/player/149099-davide-santon?hl=en-GB&units=mks;OK
241;IN from http://sofifa.com/player/149878-mauro-icardi?hl=en-GB&units=mks;OK
242;IN from http://sofifa.com/player/146753-felipe-dal-bello?hl=en-GB&units=mks;OK
243;IN from http://sofifa.com/player/147432-marco-andreolli?hl=en-GB&units=mks;OK
244;IN from http://sofifa.com/player/148254-danilo-dambrosio?hl=en-GB&units=mks;OK
245;IN from http://sofifa.com/player/151430-federico-bonazzoli?hl=en-GB&units=mks;OK
246;IN from http://sofifa.com/player/151022-george-puscas?hl=en-GB&units=mks;OK
247;IN from http://sofifa.com/player/146667-juan-pablo-carrizo?hl=en-GB&units=mks;OK
248;IN from http://sofifa.com/player/173212?hl=en-GB&units=mks;OK
249;IN from http://sofifa.com/player/201153?hl=en-GB&units=mks;OK
250;IN from http://sofifa.com/player/183855?hl=en-GB&units=mks;OK
251;IN from http://sofifa.com/player/202135?hl=en-GB&units=mks;OK
252;IN from http://sofifa.com/player/102056?hl=en-GB&units=mks;OK
253;IN from http://sofifa.com/player/103936?hl=en-GB&units=mks;OK
254;IN from http://sofifa.com/player/193061?hl=en-GB&units=mks;OK
255;IN from http://sofifa.com/player/162131?hl=en-GB&units=mks;OK
256;IN from http://sofifa.com/player/177528?hl=en-GB&units=mks;OK
257;IN from http://sofifa.com/player/213345?hl=en-GB&units=mks;OK
258;IN from http://sofifa.com/player/135073?hl=en-GB&units=mks;OK
259;IN from http://sofifa.com/player/137854?hl=en-GB&units=mks;OK
260;IN from http://sofifa.com/player/146748?hl=en-GB&units=mks;OK
261;IN from http://sofifa.com/player/173204?hl=en-GB&units=mks;OK
262;IN from http://sofifa.com/player/183280?hl=en-GB&units=mks;OK
263;IN from http://sofifa.com/player/41635?hl=en-GB&units=mks;OK
264;IN from http://sofifa.com/player/159287?hl=en-GB&units=mks;OK
265;IN from http://sofifa.com/player/185174?hl=en-GB&units=mks;OK
266;IN from http://sofifa.com/player/185174?hl=en-GB&units=mks;OK
267;IN from http://sofifa.com/player/193338?hl=en-GB&units=mks;OK
268;IN from http://sofifa.com/player/45595?hl=en-GB&units=mks;OK
269;IN from http://sofifa.com/player/136130?hl=en-GB&units=mks;OK
270;IN from http://sofifa.com/player/199767?hl=en-GB&units=mks;OK
271;IN from http://sofifa.com/player/189125?hl=en-GB&units=mks;OK
272;IN from http://sofifa.com/player/190813?hl=en-GB&units=mks;OK
273;IN from http://sofifa.com/player/137361?hl=en-GB&units=mks;OK
274;IN from http://sofifa.com/player/1219?hl=en-GB&units=mks;OK
275;IN from http://sofifa.com/player/139668?hl=en-GB&units=mks;OK
276;IN from http://sofifa.com/player/165109?hl=en-GB&units=mks;OK
277;IN from http://sofifa.com/player/187324?hl=en-GB&units=mks;OK
278;IN from http://sofifa.com/player/201995?hl=en-GB&units=mks;OK
279;IN from http://sofifa.com/player/51100?hl=en-GB&units=mks;OK
280;IN from http://sofifa.com/player/137114?hl=en-GB&units=mks;OK
281;IN from http://sofifa.com/player/156655?hl=en-GB&units=mks;OK
282;IN from http://sofifa.com/player/200434?hl=en-GB&units=mks;OK
283;IN from http://sofifa.com/player/161999?hl=en-GB&units=mks;OK
284;IN from http://sofifa.com/player/52797?hl=en-GB&units=mks;OK
285;IN from http://sofifa.com/player/156272?hl=en-GB&units=mks;OK
286;IN from http://sofifa.com/player/215785?hl=en-GB&units=mks;OK
287;IN from http://sofifa.com/player/201024?hl=en-GB&units=mks;OK
288;IN from http://sofifa.com/player/149184?hl=en-GB&units=mks;OK
